NER
PEOPLE : lorren
PEOPLE : lothar
PEOPLE : luwin
PEOPLE : lyanna
PEOPLE : lyanna stark
PEOPLE : lysa
PEOPLE : mace
PEOPLE : mad
PEOPLE : maester aemon
PEOPLE : maester luwin
PEOPLE : maester pycelle
PEOPLE : mag
PEOPLE : maggy
PEOPLE : mago
PEOPLE : maiden fair
PEOPLE : main lannister
PEOPLE : mance
PEOPLE : mance rayder
PEOPLE : mandon
PEOPLE : margaery
PEOPLE : margaery tyrell
PEOPLE : marillion
PEOPLE : martell
PEOPLE : martyn
PEOPLE : martyn lannister
PEOPLE : master mighdal
PEOPLE : master mighdal's
PEOPLE : matthos
PEOPLE : meera
PEOPLE : meereen
PEOPLE : melara
PEOPLE : melisandre
PEOPLE : men
PEOPLE : mero
PEOPLE : meryn
PEOPLE : mhaegen
PEOPLE : mighdal
PEOPLE : mirri maz duur
PEOPLE : missandei
PEOPLE : moat cailin
PEOPLE : mole
PEOPLE : moon door
PEOPLE : mord
PEOPLE : mormont
PEOPLE : moro
PEOPLE : mossador
PEOPLE : mother
PEOPLE : mott
PEOPLE : mountain
PEOPLE : mud gate
PEOPLE : mummer
PEOPLE : mycah
PEOPLE : myr
PEOPLE : myranda
PEOPLE : myrcella
PEOPLE : naharis
PEOPLE : narrow sea
PEOPLE : neck
PEOPLE : ned
PEOPLE : ned stark
PEOPLE : needle
PEOPLE : night
PEOPLE : night lands
PEOPLE : nightfort
PEOPLE : north
PEOPLE : northern
PEOPLE : northerners
PEOPLE : norvosi
PEOPLE : nym
PEOPLE : nymeria
PEOPLE : oathkeeper
PEOPLE : obara
PEOPLE : oberyn
PEOPLE : old gods
PEOPLE : old nan
PEOPLE : oldtown
PEOPLE : olenna
PEOPLE : olenna tyrell
PEOPLE : olly
PEOPLE : olyvar
PEOPLE : onion knight
PEOPLE : orell
PEOPLE : ornela
PEOPLE : orson
PEOPLE : osha
PEOPLE : outside
PEOPLE : oxcross
PEOPLE : pentos
PEOPLE : pentoshi
PEOPLE : petyr
PEOPLE : piggy
PEOPLE : pit
PEOPLE : pod
PEOPLE : podrick
PEOPLE : polliver
PEOPLE : pree
PEOPLE : prendahl
PEOPLE : priestess
PEOPLE : prince doran
PEOPLE : prince oberyn
PEOPLE : prince rhaegar
PEOPLE : prince trystane
PEOPLE : princess myrcella
PEOPLE : protector
PEOPLE : punishment
PEOPLE : pyat
PEOPLE : pyat pree
PEOPLE : pycelle
PEOPLE : pyke
PEOPLE : pyp
PEOPLE : pypar
PEOPLE : qarth
PEOPLE : qhorin
PEOPLE : qotho
PEOPLE : quaithe
PEOPLE : queen cersei
PEOPLE : queen regent
PEOPLE : queen talisa
PEOPLE : qyburn
PEOPLE : rakharo
PEOPLE : ramsay
PEOPLE : ramsay bolton
PEOPLE : ramsay snow
PEOPLE : rast
PEOPLE : raven
PEOPLE : rayder
PEOPLE : razdal
PEOPLE : realm
PEOPLE : rebellion
PEOPLE : red comet
PEOPLE : red fork
PEOPLE : red keep
PEOPLE : red priestess
PEOPLE : red waste
PEOPLE : red wedding
PEOPLE : reed
PEOPLE : reek
PEOPLE : renly
PEOPLE : rhaegal
PEOPLE : rhaegar
PEOPLE : rhaegar targaryen
PEOPLE : rhaego
PEOPLE : rhaenyra
PEOPLE : rickard
PEOPLE : rickard karstark
PEOPLE : rickon
PEOPLE : riverlands
PEOPLE : riverrun
PEOPLE : robb
PEOPLE : robb stark
PEOPLE : robert
PEOPLE : robert baratheon
PEOPLE : robert's
PEOPLE : robin
PEOPLE : rodrik
PEOPLE : roose
PEOPLE : roose bolton
PEOPLE : ros
PEOPLE : roslin
PEOPLE : royce
PEOPLE : sack
PEOPLE : salladhor
PEOPLE : salt throne
PEOPLE : sam
PEOPLE : samwell
PEOPLE : samwell tarly
PEOPLE : sand snakes
PEOPLE : sandor
PEOPLE : sandor clegane
PEOPLE : sansa
PEOPLE : sansa stark
PEOPLE : savo
PEOPLE : second sons
PEOPLE : selmy
PEOPLE : selyse
PEOPLE : sept
PEOPLE : septa mordane
PEOPLE : septa unella
PEOPLE : ser alliser
PEOPLE : ser amory
PEOPLE : ser arthur
PEOPLE : ser barristan
PEOPLE : ser barristan selmy
PEOPLE : ser beric
PEOPLE : ser davos
PEOPLE : ser gerold
PEOPLE : ser gregor
PEOPLE : ser hugh
PEOPLE : ser ilyn
PEOPLE : ser ilyn payne
PEOPLE : ser jorah
PEOPLE : ser kevan
PEOPLE : ser loras
PEOPLE : ser mandon
PEOPLE : ser meryn
PEOPLE : ser meryn trant
PEOPLE : ser rodrik
PEOPLE : ser rodrik cassel
PEOPLE : ser vardis egen
PEOPLE : ser waymar
PEOPLE : seven
PEOPLE : seven kingdoms
PEOPLE : several bolton
PEOPLE : shae
PEOPLE : shagga
PEOPLE : shaggydog
PEOPLE : shireen
PEOPLE : sight
PEOPLE : silent sisters
PEOPLE : slaver
PEOPLE : slynt
PEOPLE : small council
PEOPLE : smalljon
PEOPLE : snow
PEOPLE : son
PEOPLE : sons
PEOPLE : south
PEOPLE : sparrow
PEOPLE : sparrows
PEOPLE : square
PEOPLE : stannis
PEOPLE : stannis baratheon
PEOPLE : stark
PEOPLE : starks
PEOPLE : steelshanks
PEOPLE : stone mill
PEOPLE : storm
PEOPLE : stormlands
PEOPLE : stranger
PEOPLE : styr
PEOPLE : styr's
PEOPLE : summer
PEOPLE : sunspear
PEOPLE : syrio
PEOPLE : syrio forel
PEOPLE : talisa
PEOPLE : targaryen
PEOPLE : targaryens
PEOPLE : tarly
PEOPLE : tarth
PEOPLE : that arya
PEOPLE : that baelish
PEOPLE : that bran
PEOPLE : that bronn
PEOPLE : that daenerys
PEOPLE : that eddard
PEOPLE : that euron
PEOPLE : that frey
PEOPLE : that jaime
PEOPLE : that jorah
PEOPLE : that myrcella
PEOPLE : that robb
PEOPLE : that sansa
PEOPLE : that stannis
PEOPLE : that tyrion
PEOPLE : that tywin
PEOPLE : that yunkai
PEOPLE : thenn
PEOPLE : theon
PEOPLE : theon greyjoy
